,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
958,387000.0,2.0,2.25,1230,1280,2.0,0,0,3,960,270,2012,1912
963,570000.0,2.0,1.75,1540,4025,1.0,0,0,4,1190,350,1908,0
968,387500.0,4.0,1.0,1320,4440,1.5,0,0,3,1320,0,1929,0
974,396675.0,2.0,1.0,1730,6375,2.0,0,0,4,1730,0,1945,0
975,452000.0,4.0,1.0,1210,3760,1.5,0,0,3,1210,0,1900,2005
977,792000.0,3.0,1.5,1570,1050,2.0,0,0,3,1570,0,1915,0
979,1275000.0,4.0,2.0,2850,7861,1.0,0,4,4,1450,1400,1970,0
982,440000.0,2.0,1.75,1300,4000,2.0,0,0,3,1300,0,1948,1994
984,525000.0,3.0,1.5,1540,4773,2.0,0,0,3,1540,0,1941,2009
985,978000.0,4.0,2.75,2620,13777,1.5,0,2,4,1720,900,1926,1993
986,1125000.0,6.0,3.0,2880,3192,2.0,0,0,4,2180,700,1919,1985
987,700000.0,4.0,1.0,1680,4021,1.5,0,0,3,1680,0,1921,2000
989,309000.0,3.0,1.0,1092,7500,1.5,0,0,3,1092,0,1918,0
994,699000.0,4.0,2.5,2650,7945,2.0,0,0,3,2650,0,2006,0
998,1100000.0,3.0,2.0,2390,6888,2.0,0,1,5,2390,0,1939,0
1002,430000.0,3.0,1.75,1200,4500,1.0,0,0,5,1200,0,1906,0
1007,376000.0,2.0,1.0,1150,4000,1.0,0,0,3,1150,0,1947,2012
1008,475000.0,4.0,1.75,1650,7775,1.0,0,0,4,1150,500,1950,1983
1010,1690000.0,3.0,1.75,3400,8965,1.0,0,2,5,1820,1580,1957,0
1012,619500.0,3.0,2.5,1700,4105,2.0,0,0,3,1700,0,1992,0
1018,194000.0,1.0,1.0,820,1060,1.0,0,0,3,760,60,2007,0
1022,329000.0,4.0,2.5,1600,6765,1.0,0,0,3,830,770,1947,2011
1023,494000.0,4.0,1.75,2090,4300,1.5,0,0,4,1250,840,1925,1968
1025,423000.0,4.0,1.75,1940,6909,1.0,0,0,4,970,970,1941,1998
1027,879950.0,4.0,2.25,3500,13875,1.0,0,4,4,1830,1670,1938,0
1028,345600.0,5.0,3.5,2800,5120,2.5,0,0,3,2800,0,1903,2005
1029,395000.0,3.0,1.5,1080,2940,1.5,0,0,4,1080,0,1920,0
1032,380000.0,3.0,1.75,1690,1468,2.0,0,0,3,1380,310,2008,0
1033,440000.0,3.0,1.5,1270,1443,3.0,0,0,3,1270,0,2007,0
1034,415000.0,3.0,2.25,1970,2377,2.0,0,0,3,1680,290,2008,0
1036,500000.0,3.0,2.5,1210,1200,3.0,0,0,3,1210,0,2008,0
1037,953007.0,4.0,3.5,3120,5086,2.0,0,0,3,2480,640,2008,0
1039,772000.0,3.0,2.25,1640,1204,3.0,0,0,3,1640,0,2014,0
1042,490000.0,5.0,3.5,4460,2975,3.0,0,2,3,3280,1180,2013,1923
1043,305000.0,2.0,2.5,1590,2656,2.0,0,0,3,1220,370,2009,0
1046,325000.0,3.0,1.0,990,6750,1.0,0,0,4,990,0,1947,1988
1048,720000.0,3.0,2.5,2020,1159,3.0,0,3,3,2020,0,2000,0
1054,199000.0,4.0,2.0,2030,8120,2.0,0,0,3,2030,0,1950,2005
1056,1506000.0,4.0,3.25,3660,5800,2.5,0,0,3,3360,300,1909,1995
1060,635000.0,4.0,2.25,2750,6180,1.0,0,0,4,1500,1250,1948,0
1061,210000.0,3.0,1.0,1240,4842,1.0,0,0,4,1240,0,1916,0
1065,475000.0,4.0,2.0,1790,2250,1.0,0,2,4,840,950,1909,1989
1068,230000.0,5.0,2.0,1930,6120,1.5,0,0,3,1930,0,1941,1969
1072,249900.0,2.0,1.0,1140,5500,1.0,0,0,3,1140,0,1947,2012
1075,270000.0,3.0,1.75,1390,10905,1.0,0,0,3,860,530,1957,2000
1076,495000.0,3.0,3.5,2380,6250,2.0,0,3,3,1670,710,1997,0
1080,1003000.0,4.0,2.75,2290,6120,2.0,0,0,4,2170,120,1926,1993
1081,299800.0,2.0,1.0,790,5240,1.0,0,0,4,790,0,1925,1968
1086,360000.0,2.0,0.75,850,7710,1.0,0,2,5,550,300,1909,1988
1090,218000.0,3.0,1.0,1020,7874,1.0,0,0,3,1020,0,1956,2001
1096,452000.0,4.0,2.0,1660,6150,1.0,0,0,3,850,810,1945,2010
1098,246000.0,3.0,1.5,1780,23819,1.0,0,0,3,1780,0,1953,0
1099,535000.0,2.0,1.0,1030,4841,1.0,0,0,3,920,110,1939,1969
1101,430000.0,3.0,1.0,1150,3000,1.0,0,0,5,1150,0,1906,0
1104,450000.0,2.0,1.0,1200,4000,1.0,0,0,3,1070,130,1940,1996
1106,525000.0,3.0,1.0,1450,4000,1.0,0,1,4,950,500,1948,0
1107,1220000.0,4.0,2.5,3240,3600,2.0,0,0,3,2060,1180,2008,0
1108,540000.0,3.0,2.0,1470,1691,2.0,0,0,3,1000,470,2007,0
1114,285000.0,3.0,1.75,2380,6000,1.5,0,0,3,1320,1060,1935,1974
1121,300000.0,2.0,1.0,970,13700,1.0,0,0,3,970,0,1949,1998
1124,700000.0,4.0,3.25,2780,7875,2.0,0,0,3,2780,0,2006,0
1131,334990.0,4.0,2.5,2220,4228,2.0,0,0,3,2220,0,2014,0
1136,360000.0,3.0,2.5,1530,1131,3.0,0,0,3,1530,0,2009,0
1144,373500.0,2.0,1.0,800,3330,1.0,0,0,3,800,0,1918,0
1148,494400.0,2.0,1.75,1560,1750,1.0,0,0,4,780,780,1904,0
1150,926300.0,3.0,1.5,1660,4800,2.0,0,0,3,1660,0,1907,1983
1151,600000.0,3.0,1.75,1650,5100,1.0,0,0,5,1040,610,1908,0
1155,219900.0,3.0,1.0,910,6000,1.0,0,0,2,910,0,1956,0
1156,270000.0,2.0,1.5,840,867,2.0,0,0,3,840,0,2005,0
1157,432000.0,3.0,2.25,1470,1578,2.0,0,0,3,1090,380,2007,0
1162,305000.0,4.0,1.75,2200,8100,1.5,0,0,5,1400,800,1942,0
1164,235750.0,2.0,1.0,740,11250,1.0,0,0,2,740,0,1938,0
1165,657000.0,4.0,1.75,2740,8520,1.0,0,2,3,1370,1370,1954,2005
1168,150000.0,2.0,1.0,820,10270,1.0,0,0,3,820,0,1954,2005
1173,319950.0,2.0,1.0,1070,5824,1.0,0,2,5,1070,0,1949,0
1174,337000.0,3.0,1.0,1070,6109,1.0,0,0,5,1070,0,1951,0
1175,492000.0,4.0,2.0,1640,5000,2.0,0,0,3,1640,0,1907,1983
1179,400000.0,3.0,1.0,1040,6250,1.0,0,0,3,1040,0,1942,1999
1183,431500.0,3.0,3.5,1900,1612,2.0,0,0,3,1430,470,2008,0
1185,677000.0,3.0,2.0,2000,3207,1.0,0,0,4,1100,900,1916,0
1186,1180500.0,3.0,1.75,1610,7200,1.0,0,0,3,1090,520,1973,2013
1189,168000.0,2.0,2.5,1160,2174,2.0,0,0,3,1160,0,1998,2006
1190,805000.0,4.0,2.75,2410,6000,1.0,0,0,5,1410,1000,1950,0
1194,940000.0,4.0,2.75,2080,4000,1.5,0,0,3,2080,0,1912,2000
1197,380000.0,2.0,2.5,1230,987,2.0,0,0,3,1060,170,2011,0
1201,353250.0,2.0,1.0,1060,1600,2.0,0,0,3,1060,0,1979,2014
1203,320000.0,3.0,2.25,998,844,2.0,0,0,3,798,200,2007,0
1207,321000.0,3.0,2.25,1347,1292,3.0,0,0,3,1347,0,2010,0
1210,359000.0,3.0,1.5,1360,885,3.0,0,0,3,1360,0,2008,0
1211,300000.0,5.0,2.5,2760,6000,2.0,0,0,3,2760,0,2006,0
1212,380000.0,5.0,3.5,2420,4670,2.0,0,0,3,2420,0,2013,1923
1214,355000.0,3.0,2.25,1280,959,3.0,0,0,3,1280,0,2005,0
1216,353000.0,1.0,1.0,550,1279,2.0,0,0,3,550,0,2008,0
1217,430000.0,2.0,2.5,1520,1588,2.0,0,0,3,1240,280,2007,0
1218,460000.0,3.0,1.0,1670,4005,1.5,0,0,4,1170,500,1939,1989
1222,325000.0,3.0,1.0,1920,6862,1.0,0,2,3,1120,800,1952,2008
1223,980000.0,4.0,3.0,3680,5854,1.0,0,3,3,2060,1620,1967,2011
1226,662990.0,3.0,1.75,1240,3600,1.5,0,0,5,1240,0,1926,0
1233,478000.0,3.0,1.0,1280,2580,1.5,0,0,3,1280,0,1910,2014
1234,515000.0,2.0,1.0,1680,6500,1.0,0,0,4,1140,540,1941,1998
1236,149000.0,3.0,1.0,1700,8645,1.0,0,0,3,1700,0,1955,2005
1237,526000.0,3.0,1.75,1680,3420,1.0,0,0,3,960,720,1992,0
1243,648475.0,4.0,2.75,2250,5700,1.0,0,0,3,1200,1050,1951,1994
1244,383000.0,3.0,1.0,1800,5612,1.0,0,0,4,1200,600,1942,1982
1246,449950.0,3.0,2.0,1560,4080,2.0,0,0,3,1560,0,1923,1982
1249,599000.0,3.0,2.75,1960,2500,1.5,0,0,5,1410,550,1926,0
1251,595000.0,2.0,1.5,1030,4500,1.0,0,0,3,830,200,1924,2011
1258,1325000.0,4.0,3.0,3370,7920,1.0,0,3,3,1860,1510,1988,2000
1263,661254.0,4.0,4.0,2290,6250,1.5,0,0,5,1690,600,1940,0
1269,641000.0,3.0,1.75,1620,3975,1.0,0,0,5,940,680,1926,0
1274,464600.0,3.0,1.75,1120,5500,1.5,0,0,4,1120,0,1925,1968
1276,300000.0,2.0,1.0,1340,7788,1.0,0,2,3,1340,0,1947,2012
1277,670500.0,4.0,2.0,1590,6750,1.0,0,0,3,1590,0,1951,1994
1278,552000.0,3.0,1.0,1430,5000,1.0,0,0,4,1080,350,1919,1985
1279,244000.0,4.0,1.0,1450,8960,1.0,0,0,3,1450,0,1943,2002
1282,530000.0,4.0,1.75,1814,5000,1.0,0,0,4,944,870,1951,1999
1283,90000.0,2.0,1.0,580,7500,1.0,0,0,3,580,0,1943,2002
1284,585000.0,3.0,2.0,1670,4572,1.5,0,0,3,1670,0,1931,0
1286,379000.0,2.0,1.0,800,6380,1.0,0,2,3,800,0,1940,1996
1287,462000.0,3.0,1.75,1300,2580,1.0,0,0,5,820,480,1919,1934
1292,606000.0,3.0,1.0,1500,3920,1.0,0,0,3,1000,500,1947,2012
1293,334000.0,4.0,2.5,2210,6080,1.0,0,2,4,1410,800,1965,0
1294,360000.0,3.0,2.0,1270,1323,3.0,0,0,3,1270,0,2006,0
1295,235000.0,2.0,1.0,1140,1730,1.5,0,0,3,1010,130,2007,0
1296,580000.0,3.0,2.5,1620,1173,3.0,0,4,3,1470,150,2008,0
1297,355000.0,3.0,2.0,1220,1186,3.0,0,0,3,1220,0,2007,0
1298,375000.0,2.0,2.5,750,1430,2.0,0,0,3,750,0,2006,0
1300,479000.0,3.0,1.0,1370,3000,1.5,0,0,3,1370,0,1924,2011
1303,501000.0,2.0,1.0,1010,4320,1.0,0,0,5,1010,0,1924,1956
1315,276000.0,3.0,1.0,1140,5000,1.0,0,0,3,1140,0,1960,2012
1322,468000.0,2.0,1.0,1160,6000,1.0,0,0,4,860,300,1942,1982
1323,477000.0,4.0,2.75,1720,6270,2.0,0,0,3,1720,0,1978,0
1324,529000.0,3.0,1.0,1210,3328,1.5,0,0,4,1210,0,1924,0
1325,312000.0,3.0,1.5,1255,1374,3.0,0,0,3,1255,0,2004,2003
1326,326100.0,2.0,1.0,880,7683,1.0,0,0,3,880,0,1942,1999
1327,360000.0,3.0,1.0,1050,9206,1.5,0,0,3,1050,0,1954,2005
1330,1050000.0,4.0,2.5,2920,7200,1.0,0,3,3,1470,1450,1921,2006
1331,688000.0,4.0,3.0,3000,4000,1.5,0,3,3,1970,1030,1913,2014
1336,160000.0,2.0,1.0,1180,9350,1.0,0,0,3,1180,0,1918,0
1337,1570000.0,4.0,3.75,3070,5850,2.0,0,0,5,2400,670,1927,0
1339,400000.0,2.0,1.0,1470,6120,1.0,0,0,2,1470,0,1940,0
1344,730001.0,3.0,2.0,1840,4750,1.0,0,0,5,1010,830,1951,0
1347,751750.0,2.0,2.0,1880,5400,1.5,0,0,3,1880,0,1902,0
1350,457500.0,3.0,1.75,1840,4030,1.0,0,0,5,1050,790,1925,0
1353,732000.0,3.0,2.5,2330,1987,2.0,0,4,3,1410,920,2004,2003
1355,1655000.0,4.0,3.5,3080,4815,2.0,0,3,3,2300,780,1937,2009
1356,535000.0,2.0,1.0,1040,5527,1.0,0,0,3,1040,0,1951,1994
1357,540000.0,4.0,4.25,1960,3565,2.0,0,0,3,1960,0,1940,2003
1358,525000.0,5.0,3.0,2750,3800,1.5,0,0,5,1750,1000,1926,0
1362,1100000.0,3.0,2.75,2640,4050,1.5,0,0,5,1750,890,1926,0
1371,499950.0,3.0,3.5,1820,1501,2.0,0,0,3,1430,390,2014,0
1373,329000.0,3.0,1.0,1600,5952,1.0,0,0,4,1150,450,1964,0
1376,435000.0,3.0,1.0,1270,4000,1.5,0,2,3,1270,0,1928,1954
1379,780000.0,3.0,3.0,2520,2152,1.5,0,0,3,1560,960,1925,2006
1380,345000.0,2.0,1.5,1180,844,2.0,0,0,3,990,190,2005,0
1384,967500.0,3.0,3.75,3250,5797,2.0,0,2,4,2370,880,1951,1999
1385,375000.0,3.0,1.5,2000,7294,1.0,0,0,3,1520,480,1965,1993
1386,1600000.0,3.0,3.25,3790,19000,2.0,0,4,3,3790,0,1985,0
1388,994000.0,3.0,2.25,2510,6339,1.5,0,2,5,1810,700,1932,2002
1392,675000.0,3.0,2.5,2540,7680,2.0,0,1,4,2540,0,1940,2001
1394,280000.0,3.0,1.0,1200,6250,1.0,0,0,3,920,280,1943,2002
1401,535000.0,4.0,2.5,2340,5600,2.0,0,0,3,2340,0,1921,2013
1402,427000.0,2.0,1.0,920,3780,1.0,0,0,3,920,0,1910,2006
1403,405000.0,2.0,1.0,910,6490,1.0,0,0,3,910,0,1942,1999
1404,480000.0,3.0,1.0,1150,4945,1.0,0,2,3,1150,0,1943,2002
1405,725000.0,3.0,1.5,2500,4774,1.5,0,2,3,1450,1050,1940,1996
1409,488000.0,3.0,2.5,1590,2550,3.0,0,0,3,1590,0,1985,0
1414,460000.0,3.0,3.5,1600,1431,2.0,0,0,3,1240,360,2006,0
1415,399950.0,3.0,3.0,1296,1051,3.0,0,0,3,1296,0,2009,0
1416,370000.0,2.0,2.25,1280,835,2.0,0,0,3,1080,200,2009,0
1420,495000.0,3.0,2.5,1750,1548,3.0,0,0,3,1750,0,2013,1923
1430,599000.0,4.0,2.75,2020,2750,1.0,0,0,3,1010,1010,1917,2014
1431,815000.0,4.0,2.25,2000,3800,2.0,0,0,3,2000,0,2001,0
1433,740000.0,2.0,1.75,2080,4800,1.0,0,0,5,1080,1000,1923,0
1435,925000.0,3.0,2.5,2690,7000,2.0,0,0,5,1840,850,1943,0
1436,1285000.0,4.0,2.5,3240,10800,1.0,0,0,3,2260,980,1946,0
1438,335000.0,4.0,2.0,1480,3132,1.0,0,0,5,740,740,1910,0
1439,840000.0,4.0,2.75,3040,2800,2.0,0,0,3,2100,940,1906,2014
1442,450000.0,3.0,1.0,1100,4600,1.0,0,0,3,1100,0,1917,2009
1443,681000.0,3.0,1.0,1700,6356,1.5,0,0,3,1700,0,1907,1983
1445,370000.0,3.0,1.0,800,2296,1.0,0,0,4,800,0,1908,0
1447,150000.0,3.0,1.0,820,7680,1.5,0,0,3,820,0,1910,2006
1457,432500.0,3.0,1.75,1980,5100,1.0,0,0,3,1270,710,1965,1993
1464,1175000.0,3.0,2.5,1970,23180,1.0,1,4,3,1100,870,1937,1998
1466,820000.0,3.0,2.5,2510,5503,2.0,0,2,3,2510,0,1995,0
1468,1400000.0,4.0,3.25,2980,7000,2.0,0,3,3,2140,840,1900,2014
1469,438750.0,3.0,1.75,1610,6480,1.0,0,0,4,1610,0,1947,1988
1470,1210000.0,4.0,2.75,3650,6982,2.0,0,2,4,2530,1120,1951,2003
1472,589000.0,3.0,1.0,1110,6000,1.5,0,0,5,1110,0,1932,2002
1473,590000.0,3.0,2.0,1650,6150,2.0,0,0,4,1650,0,1926,1993
1475,210000.0,2.0,1.5,880,1157,2.0,0,0,3,880,0,2007,0
1477,840500.0,3.0,2.0,2520,5400,1.5,0,0,4,1410,1110,1906,1990
1479,565000.0,7.0,4.5,4140,9066,1.0,0,0,3,2070,2070,1978,0
1483,380000.0,3.0,2.0,1660,8281,1.0,0,0,3,1660,0,1949,1998
1485,355000.0,2.0,1.0,1270,3200,1.0,0,0,4,960,310,1920,0
1486,277000.0,4.0,1.0,1450,6250,1.0,0,0,3,990,460,1964,2000
1488,270000.0,3.0,1.75,1300,4127,1.0,0,0,4,650,650,1918,1953
1489,700000.0,2.0,1.75,2320,5500,1.5,0,2,3,1720,600,1925,2000
1491,635000.0,3.0,2.5,2300,5500,1.5,0,0,4,2000,300,1921,0
1492,510250.0,3.0,1.75,1400,4000,1.0,0,0,3,870,530,1951,1994
1493,960000.0,4.0,2.25,2410,4560,2.0,0,2,5,1800,610,1929,0
1498,580000.0,5.0,2.0,1940,6000,1.0,0,0,5,970,970,1945,0
1500,1970000.0,8.0,3.5,4440,6480,2.0,0,3,5,3140,1300,1959,0
1501,285000.0,2.0,1.0,800,6240,1.0,0,0,3,800,0,1954,2005
1503,840000.0,4.0,1.75,2330,4000,2.0,0,0,5,1300,1030,1924,1956
1504,474800.0,2.0,3.25,1400,1243,3.0,0,0,3,1400,0,2000,0
1508,430000.0,3.0,3.75,3890,7140,1.0,0,2,3,2390,1500,1943,2007
1515,345000.0,2.0,1.0,1080,4000,1.0,0,0,3,1080,0,1940,1996
1516,875000.0,3.0,2.75,2280,4280,1.0,0,0,5,1280,1000,1917,0
1518,1400000.0,4.0,3.25,4700,9160,1.0,0,4,3,2520,2180,2005,0
1523,325000.0,2.0,2.5,1050,1609,2.0,0,0,3,1050,0,2005,0
1524,485000.0,4.0,1.0,1600,4300,1.5,0,0,4,1600,0,1916,0
1530,535000.0,3.0,2.5,1360,1016,3.0,0,0,3,1310,50,2003,0
1531,389000.0,2.0,1.0,910,7000,1.0,0,0,3,910,0,1952,2008
1532,400000.0,4.0,1.5,1390,7200,1.0,0,0,3,1140,250,1965,1993
1540,820000.0,4.0,2.25,2280,6660,1.5,0,2,3,1960,320,1940,1984
1542,436500.0,2.0,1.0,1260,5000,1.0,0,0,3,1040,220,1951,1994
1543,2453500.0,4.0,3.5,4730,13586,1.5,0,0,5,4270,460,1935,0
1545,680000.0,3.0,2.25,2330,4000,1.5,0,2,5,1520,810,1927,0
1546,750500.0,5.0,3.0,2170,2440,1.5,0,0,4,1450,720,1911,1966
1547,550000.0,5.0,2.0,2450,9488,1.0,0,0,4,1240,1210,1900,1955
1549,619000.0,4.0,2.0,2300,3400,1.5,0,0,5,1550,750,1915,0
1551,300000.0,2.0,1.0,820,3844,1.0,0,0,4,820,0,1916,0
1554,400000.0,4.0,2.75,1240,3867,1.0,0,0,3,800,440,1987,2000
1556,450000.0,4.0,2.0,2240,7725,1.0,0,0,5,1120,1120,1956,0
1557,595000.0,3.0,2.0,1480,5000,1.0,0,0,4,750,730,1928,0
1559,155000.0,3.0,1.0,1250,6250,1.0,0,0,2,1030,220,1949,0
1562,529000.0,3.0,1.0,1590,6420,1.0,0,0,3,1590,0,1944,0
1564,635200.0,4.0,1.75,1640,4240,1.0,0,0,5,920,720,1921,0
1565,540000.0,3.0,1.5,2600,5085,1.0,0,0,4,1400,1200,1940,2001
1566,402000.0,2.0,1.0,710,1173,2.0,0,0,4,710,0,1943,0
1568,329932.0,3.0,1.5,1460,5040,1.0,0,0,3,1100,360,1971,0
1574,445000.0,4.0,1.75,1990,4725,1.5,0,0,4,1190,800,1944,0
1576,395000.0,2.0,1.0,1320,1824,1.5,0,0,4,1320,0,1909,1989
1577,510000.0,3.0,1.5,2240,3800,2.0,0,0,3,1370,870,1929,0
1584,1425000.0,4.0,4.25,4960,6000,2.5,0,0,3,3680,1280,1909,2003
1588,685000.0,3.0,1.75,1940,7313,1.0,0,1,4,1440,500,1960,2001
1591,350000.0,4.0,2.5,2040,22653,2.0,0,0,3,2040,0,2011,0
1592,305000.0,2.0,2.25,1000,905,3.0,0,0,3,1000,0,2006,0
1593,645000.0,3.0,3.25,1730,1229,2.0,0,2,3,1320,410,2008,0
1594,385000.0,3.0,1.0,1220,4800,1.0,0,0,3,1220,0,1901,0
1599,425000.0,3.0,1.75,1680,3000,1.0,0,2,4,840,840,1900,1971
1601,369000.0,3.0,2.0,1550,8509,1.0,0,0,3,1150,400,1959,1989
1604,650000.0,2.0,2.5,1740,2500,2.0,0,2,3,1210,530,1994,0
1605,299950.0,3.0,1.0,1210,9525,1.0,0,0,3,1210,0,1955,2005
1608,715000.0,4.0,1.75,3420,7200,1.0,0,3,5,1770,1650,1947,0
1609,659000.0,4.0,2.5,3190,11375,1.0,0,0,5,2210,980,1946,0
1610,490000.0,3.0,1.75,1920,5405,1.0,0,2,4,960,960,1947,1988
1612,750000.0,3.0,1.75,1700,8400,1.0,0,0,3,1460,240,1947,2012
1613,700000.0,4.0,2.5,2310,3570,1.5,0,0,3,1490,820,1927,2014
1617,1365000.0,3.0,2.5,2090,6000,1.5,0,0,4,2090,0,1928,0
1619,330000.0,2.0,2.5,1240,1546,2.0,0,0,3,1240,0,2007,0
1621,560000.0,3.0,1.5,2000,7350,1.0,0,0,3,2000,0,1953,0
1625,315000.0,3.0,2.0,1060,5750,1.0,0,0,3,1060,0,1981,2013
1627,399000.0,2.0,1.0,940,4800,1.0,0,0,4,940,0,1911,1955
1631,740000.0,5.0,3.75,3990,18897,2.0,0,0,3,3090,900,1937,2010
1632,280000.0,2.0,1.0,1880,7560,1.0,0,0,3,940,940,1919,2001
1635,750000.0,4.0,2.75,2600,4674,1.0,0,0,3,1560,1040,1976,0
1638,427000.0,5.0,2.75,2220,4000,1.0,0,0,3,1230,990,1973,2013
1640,735000.0,4.0,3.0,2840,4120,1.5,0,0,4,2060,780,1931,0
1642,240000.0,3.0,2.0,1330,6000,1.0,0,0,4,630,700,1900,1971
1643,645500.0,2.0,1.0,1890,5202,1.5,0,0,4,1890,0,1909,1989
1647,325000.0,3.0,1.75,2180,10230,1.0,0,0,4,1090,1090,1961,2001
1650,919204.0,4.0,3.5,3760,5000,2.0,0,0,3,2860,900,2014,0
1657,615000.0,3.0,2.25,1760,1146,3.0,0,0,3,1760,0,2014,0
1660,1505000.0,4.0,3.5,3480,7232,2.0,0,0,3,2580,900,1926,2010
1663,250000.0,1.0,1.0,750,4000,1.0,0,0,3,750,0,1918,0
1664,315000.0,3.0,1.0,960,6634,1.0,0,0,3,960,0,1952,2008
1665,404000.0,3.0,1.5,2030,8880,1.0,0,0,3,1330,700,1963,2008
1667,285000.0,2.0,2.5,1380,1073,2.0,0,0,3,1140,240,2011,0
1668,500000.0,3.0,2.0,1720,5525,1.0,0,2,5,960,760,1941,0
1669,380000.0,2.0,1.0,1210,4800,1.0,0,0,3,1060,150,1950,2005
1670,469000.0,3.0,1.0,950,4250,1.5,0,0,5,950,0,1948,1985
1671,405000.0,2.0,1.75,1710,4234,2.0,0,0,3,1330,380,1920,1979
1677,629000.0,3.0,2.0,1760,5000,1.0,0,0,5,960,800,1920,0
1678,395000.0,1.0,1.0,730,3000,1.0,0,0,3,730,0,1911,1979
1679,965000.0,4.0,2.5,2460,5000,2.0,0,0,5,1620,840,1938,0
1680,820000.0,3.0,1.75,2160,6272,1.0,0,0,4,1390,770,1960,2001
1681,661000.0,4.0,2.25,1990,4600,1.5,0,2,4,1420,570,1932,1958
1688,686000.0,3.0,1.5,1840,9990,2.0,0,0,5,1840,0,1961,0
1692,430000.0,2.0,1.0,990,4802,1.0,0,0,3,990,0,1947,2012
1694,809000.0,4.0,1.5,1840,4337,2.0,0,0,4,1840,0,1917,0
1695,440150.0,2.0,1.0,1110,6800,1.0,0,0,5,1000,110,1947,0
1698,455000.0,2.0,1.0,1170,6000,1.0,0,0,4,970,200,1941,1998
1699,635000.0,3.0,2.5,1960,7200,1.0,0,0,4,980,980,1940,2001
1703,985000.0,3.0,1.75,1670,5400,2.0,0,0,5,1670,0,1912,0
1704,465500.0,3.0,1.75,1890,7004,1.0,0,0,3,1290,600,1965,1993
1707,730000.0,4.0,2.0,2360,6000,1.0,0,0,5,1260,1100,1939,0
1711,550000.0,3.0,2.0,1810,4064,1.5,0,0,3,1810,0,1925,2002
1723,345000.0,3.0,1.75,1990,5650,1.0,0,1,3,1320,670,1963,2008
1726,342000.0,2.0,2.5,1175,1366,2.0,0,0,3,740,435,2005,0
1728,610000.0,5.0,2.5,3990,3839,1.0,0,0,4,1990,2000,1962,0
1729,455000.0,2.0,1.0,1140,5720,1.0,0,0,3,850,290,1947,2012
1730,540000.0,4.0,1.75,1720,4240,1.5,0,0,4,1460,260,1925,1968
1732,544000.0,3.0,1.5,1790,8203,1.5,0,1,3,1790,0,1910,2006
1737,400000.0,3.0,2.5,1495,936,3.0,0,0,3,1405,90,2006,0
1738,425000.0,3.0,2.25,1660,6000,1.0,0,0,3,1110,550,1979,2014
1740,650000.0,5.0,2.75,2550,5040,1.5,0,0,5,2550,0,1902,0
1741,850000.0,3.0,1.75,1370,3850,1.0,0,0,5,770,600,1911,1988
1742,930000.0,4.0,2.5,2200,4000,2.0,0,0,5,1430,770,1908,0
1743,530000.0,3.0,1.75,1250,6041,1.5,0,0,5,1250,0,1942,0
1745,500000.0,3.0,1.75,1620,4200,1.0,0,0,5,830,790,1945,0
1753,1100000.0,4.0,3.75,2930,3200,1.5,0,0,5,2130,800,1925,0
1757,689800.0,3.0,2.75,2390,9313,1.0,0,0,5,1390,1000,1942,0
1758,430000.0,3.0,2.0,1360,5120,1.5,0,0,4,910,450,1924,0
1759,785200.0,3.0,2.25,1840,3500,1.5,0,0,5,1540,300,1910,0
1765,835000.0,4.0,2.75,1550,4000,1.5,0,0,3,1550,0,1930,1997
1767,440000.0,2.0,1.0,1230,6600,1.0,0,0,3,1130,100,1906,2014
1770,613000.0,3.0,2.5,1350,3068,2.0,0,0,3,1350,0,1991,0
1772,660000.0,3.0,2.5,2290,2798,3.0,0,0,4,2290,0,1953,1983
1773,280000.0,2.0,1.5,1480,15641,1.0,0,0,4,1480,0,1940,2001
1775,235000.0,2.0,1.0,720,4840,1.0,0,0,4,720,0,1947,1988
1776,390000.0,3.0,2.0,1080,7236,1.0,0,0,5,1080,0,1947,0
1781,710000.0,3.0,2.0,2140,4923,1.0,0,0,4,1070,1070,1928,0
1783,312000.0,3.0,2.25,1540,5338,1.0,0,0,5,770,770,1954,0
1787,545000.0,3.0,1.75,1810,3000,1.5,0,0,4,1810,0,1903,0
1793,409950.0,2.0,1.75,1370,5125,1.0,0,0,5,1370,0,1944,0
1804,960000.0,4.0,3.0,4590,9150,2.0,0,0,3,3490,1100,1981,2013
1805,847000.0,5.0,1.0,2550,4623,2.5,0,0,4,2550,0,1905,0
1809,605000.0,3.0,2.0,2060,4040,1.0,0,0,4,1120,940,1947,1988
1810,425000.0,2.0,2.5,1140,1182,3.0,0,0,3,1140,0,2007,0
1814,210000.0,3.0,1.0,1110,7962,1.0,0,0,3,1110,0,1962,2003
1818,718000.0,3.0,1.0,1030,4958,1.0,0,0,5,1030,0,1952,1998
1831,320000.0,3.0,3.25,1530,1602,2.0,0,0,3,1140,390,2013,1923
1832,390000.0,3.0,2.25,1250,7500,1.0,0,0,5,1250,0,1942,0
1834,375000.0,4.0,1.75,2200,7475,1.0,0,0,5,1100,1100,1955,0
1835,240500.0,3.0,1.75,1460,10584,1.0,0,0,3,990,470,1997,0
1840,327500.0,3.0,1.0,1070,7140,1.0,0,0,3,1070,0,1989,0
1846,280000.0,2.0,1.0,960,4920,1.0,0,0,3,960,0,1942,1999
